AbstractSyntaxTreeNode,AbstractSyntaxTreeNode.Self,AbstractSyntaxTreeNode.SelfIndex,AbstractSyntaxTreeNode.ChildType,AbstractSyntaxTreeNode.ParentIndex,AbstractSyntaxTreeNode.LeftChild,AbstractSyntaxTreeNode.RightChild,AbstractSyntaxTreeNode.Subsequent,AbstractSyntaxTreeNode.Alternate
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.ConcatenatePattern,0,NONE,-1,1,6,-1,-1
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.AlternatePattern,1,LEFT,0,2,3,-1,-1
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.NullPattern,2,LEFT,1,-1,-1,6,4
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.ConcatenatePattern,3,RIGHT,1,4,5,-1,-1
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.AnyPattern,4,LEFT,3,-1,-1,5,-1
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.UnevaluatedPattern,5,RIGHT,3,-1,-1,6,-1
Snobol4.Common.AbstractSyntaxTreeNode,Snobol4.Common.RPosPattern,6,RIGHT,0,-1,-1,-1,-1
